symbol,decision_time,as_of_time,side,weight,max_hold_bars,metadata
LINK-PERP,2026-01-10T20:01:00+00:00,2026-01-10T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 41.04591061112828, ""funding_pressure_bps"": 3.4811, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2026-01-10T20:01:00+00:00,2026-01-10T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 38.5109114249027, ""funding_pressure_bps"": 3.1692, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-10T20:01:00+00:00,2026-01-10T20:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 5.887024357700277, ""funding_pressure_bps"": 2.7011, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-11T04:01:00+00:00,2026-01-11T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 4.783451842276243, ""funding_pressure_bps"": 3.9621999999999997, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-11T08:01:00+00:00,2026-01-11T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 10.590816249338442, ""funding_pressure_bps"": 3.4811, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2026-01-11T08:01:00+00:00,2026-01-11T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 2.5568908207618257, ""funding_pressure_bps"": 2.8966000000000003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-11T12:01:00+00:00,2026-01-11T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 0.8048511576630446, ""funding_pressure_bps"": 3.2948999999999997, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-11T16:01:00+00:00,2026-01-11T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 27.796991876456456, ""funding_pressure_bps"": 3.7549999999999994, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-12T04:01:00+00:00,2026-01-12T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 33.04791948325114, ""funding_pressure_bps"": 3.9830000000000005, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-12T04:01:00+00:00,2026-01-12T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 85.45421958213728, ""funding_pressure_bps"": 3.7549999999999994, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2026-01-12T04:01:00+00:00,2026-01-12T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 60.75949367088551, ""funding_pressure_bps"": 2.7320999999999995, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2026-01-12T04:01:00+00:00,2026-01-12T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 40.900556282579274, ""funding_pressure_bps"": 2.3129, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2026-01-12T16:01:00+00:00,2026-01-12T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 64.46590448494716, ""funding_pressure_bps"": 3.2584, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2026-01-12T16:01:00+00:00,2026-01-12T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 113.80996028108603, ""funding_pressure_bps"": 2.9406000000000003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
