symbol,decision_time,as_of_time,side,weight,max_hold_bars,metadata
ETH-PERP,2025-10-27T04:01:00+00:00,2025-10-27T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 27.53079321606844, ""funding_pressure_bps"": 3.8492, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-27T04:01:00+00:00,2025-10-27T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 23.27796000423321, ""funding_pressure_bps"": 3.5002999999999997, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-27T12:01:00+00:00,2025-10-27T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 20.710059171598072, ""funding_pressure_bps"": 3.8362, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-10-27T12:01:00+00:00,2025-10-27T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 20.213972292066895, ""funding_pressure_bps"": 3.3405, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-27T16:01:00+00:00,2025-10-27T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 17.42255131485848, ""funding_pressure_bps"": 3.6174, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-28T08:01:00+00:00,2025-10-28T08:00:00+00:00,short,0.2,120,"{""entry_return_extension_bps"": 159.18797492928016, ""funding_pressure_bps"": 3.9530000000000003, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-28T08:01:00+00:00,2025-10-28T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 112.2695451965372, ""funding_pressure_bps"": 3.6378000000000004, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ETH-PERP,2025-10-29T04:01:00+00:00,2025-10-29T04:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 35.712671217393854, ""funding_pressure_bps"": 1.3014999999999999, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-10-29T08:01:00+00:00,2025-10-29T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 45.460901147098554, ""funding_pressure_bps"": 2.4129, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-29T08:01:00+00:00,2025-10-29T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 43.73423044575331, ""funding_pressure_bps"": 1.7117, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-10-29T16:01:00+00:00,2025-10-29T16:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -142.9456084219216, ""funding_pressure_bps"": -2.1773, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-29T16:01:00+00:00,2025-10-29T16:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -129.8099211868331, ""funding_pressure_bps"": -1.3091000000000002, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-10-30T08:01:00+00:00,2025-10-30T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 97.92804397917187, ""funding_pressure_bps"": 1.2648, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
LINK-PERP,2025-10-30T08:01:00+00:00,2025-10-30T08:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 103.49003633160825, ""funding_pressure_bps"": 1.1768, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-10-30T12:01:00+00:00,2025-10-30T12:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -61.385405090754745, ""funding_pressure_bps"": -1.6602000000000001, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
DOGE-PERP,2025-10-31T04:01:00+00:00,2025-10-31T04:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -44.79706390328131, ""funding_pressure_bps"": -2.4215, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-10-31T16:01:00+00:00,2025-10-31T16:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 17.60536163286197, ""funding_pressure_bps"": 1.8321, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
ADA-PERP,2025-10-31T16:01:00+00:00,2025-10-31T16:00:00+00:00,long,0.2,720,"{""entry_return_extension_bps"": -24.437927663735202, ""funding_pressure_bps"": -1.3434, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
BTC-PERP,2025-11-01T12:01:00+00:00,2025-11-01T12:00:00+00:00,short,0.2,480,"{""entry_return_extension_bps"": 9.646322714498279, ""funding_pressure_bps"": 4.0213, ""signal_family"": ""crypto_perp_funding_crowding_reversal_stateful_rebalance"", ""state_mode"": ""suppress_until_exit""}"
